"Process:"	"Lab-08a.exe"
"PID:"	"2168"

"Type"	"Size"	"Committed"	"Private"	"Total WS"	"Private WS"	"Shareable WS"	"Shared WS"	"Locked WS"	"Blocks"	"Largest"	
"Total"	"4 245 412"	"11 600"	"568"	"4 580"	"464"	"4 116"	"4 116"	""	"78"	""
"Free"	"137 434 708 160"	""	""	""	""	""	""	""	"11"	"135 488 239 936"
"Heap"	"1 480"	"168"	"104"	"108"	"104"	"4"	"4"	""	"5"	"1 024"
"Image"	"9 848"	"9 824"	"240"	"3 980"	"160"	"3 820"	"3 820"	""	"42"	"4 040"
"Managed Heap"	""	""	""	""	""	""	""	""	""	""
"Mapped File"	"1 140"	"1 140"	""	"80"	""	"80"	"80"	""	"7"	"844"
"Page Table"	"164"	"164"	"164"	"164"	"164"	""	""	""	""	""
"Private Data"	"4 229 268"	"32"	"32"	"28"	"20"	"8"	"8"	""	"9"	"4 194 432"
"Shareable"	"1 252"	"244"	""	"204"	""	"204"	"204"	""	"12"	"1 024"
"Stack"	"1 024"	"28"	"28"	"16"	"16"	""	""	""	"3"	"1 024"
"Unusable"	"1 236"	""	""	""	""	""	""	""	""	"60"

"Address"	"Type"	"Size"	"Committed"	"Private"	"Total WS"	"Private WS"	"Shareable WS"	"Shared WS"	"Locked WS"	"Blocks"	"Protection"	"Details"	
"  000001C563F62000"	"Heap (Private Data)"	"384"	""	""	""	""	""	""	""	""	"Reserved"	"Heap ID: 0 (Default) [COMPATABILITY]"
"000001C563FD0000"	"Mapped File"	"12"	"12"	""	"12"	""	"12"	"12"	""	"1"	"Read"	"C:\Windows\System32\l_intl.nls"
"  000001C563FD0000"	"Mapped File"	"12"	"12"	""	"12"	""	"12"	"12"	""	""	"Read"	""
"000001C563FE0000"	"Mapped File"	"844"	"844"	""	"44"	""	"44"	"44"	""	"1"	"Read"	"C:\Windows\System32\locale.nls"
"  000001C563FE0000"	"Mapped File"	"844"	"844"	""	"44"	""	"44"	"44"	""	""	"Read"	""
"000001C5640C0000"	"Mapped File"	"68"	"68"	""	"8"	""	"8"	"8"	""	"1"	"Read"	"C:\Windows\System32\C_1251.NLS"
"  000001C5640C0000"	"Mapped File"	"68"	"68"	""	"8"	""	"8"	"8"	""	""	"Read"	""
"000001C5640E0000"	"Mapped File"	"68"	"68"	""	"4"	""	"4"	"4"	""	"1"	"Read"	"C:\Windows\System32\C_866.NLS"
"  000001C5640E0000"	"Mapped File"	"68"	"68"	""	"4"	""	"4"	"4"	""	""	"Read"	""
"000001C564100000"	"Heap (Private Data)"	"1 024"	"96"	"96"	"96"	"96"	""	""	""	"2"	"Read/Write"	"Heap ID: 1 [LOW FRAGMENTATION]"
"  000001C564100000"	"Heap (Private Data)"	"96"	"96"	"96"	"96"	"96"	""	""	""	""	"Read/Write"	"Heap ID: 0 (Default) [COMPATABILITY]"
"  000001C564118000"	"Heap (Private Data)"	"928"	""	""	""	""	""	""	""	""	"Reserved"	"Heap ID: 0 (Default) [COMPATABILITY]"
"00007FF44E050000"	"Shareable"	"1 024"	"20"	""	"8"	""	"8"	"8"	""	"2"	"Read"	""
"  00007FF44E050000"	"Shareable"	"20"	"20"	""	"8"	""	"8"	"8"	""	""	"Read"	""
"  00007FF44E055000"	"Shareable"	"1 004"	""	""	""	""	""	""	""	""	"Reserved"	""
"00007FF44E150000"	"Private Data"	"4 194 432"	""	""	""	""	""	""	""	"1"	"Reserved"	""
"  00007FF44E150000"	"Private Data"	"4 194 432"	""	""	""	""	""	""	""	""	"Reserved"	"Thread Environment Block"
"00007FF54E170000"	"Private Data"	"32 772"	"4"	"4"	""	""	""	""	""	"2"	"Read/Write"	""
"  00007FF54E170000"	"Private Data"	"32 768"	""	""	""	""	""	""	""	""	"Reserved"	"Thread Environment Block"
"  00007FF550170000"	"Private Data"	"4"	"4"	"4"	""	""	""	""	""	""	"Read/Write"	"Thread Environment Block"
"00007FF550180000"	"Shareable"	"4"	"4"	""	""	""	""	""	""	"1"	"Read"	""
"  00007FF550180000"	"Shareable"	"4"	"4"	""	""	""	""	""	""	""	"Read"	""
"00007FF6F1B70000"	"Image (ASLR)"	"156"	"156"	"72"	"60"	"8"	"52"	"52"	""	"8"	"Execute/Copy on Write"	"C:\Users\nikit\OneDrive\Ðàáî÷èé ñòîë\ÎÑ\ëàá 8\Lab-08a\x64\Debug\Lab-08a.exe"
"  00007FF6F1B70000"	"Image (ASLR)"	"4"	"4"	""	"4"	""	"4"	"4"	""	""	"Read"	"Header"
"  00007FF6F1B71000"	"Image (ASLR)"	"64"	"64"	"64"	""	""	""	""	""	""	"Execute/Copy on Write"	".textbss"
"  00007FF6F1B81000"	"Image (ASLR)"	"36"	"36"	""	"24"	""	"24"	"24"	""	""	"Execute/Read"	".text"
"  00007FF6F1B8A000"	"Image (ASLR)"	"16"	"16"	""	"12"	""	"12"	"12"	""	""	"Read"	".rdata"
"  00007FF6F1B8E000"	"Image (ASLR)"	"4"	"4"	"4"	"4"	"4"	""	""	""	""	"Read/Write"	".data"
"  00007FF6F1B8F000"	"Image (ASLR)"	"12"	"12"	""	""	""	""	""	""	""	"Read"	".pdata"
"  00007FF6F1B92000"	"Image (ASLR)"	"4"	"4"	"4"	"4"	"4"	""	""	""	""	"Read"	".idata"
"  00007FF6F1B93000"	"Image (ASLR)"	"4"	"4"	"4"	"4"	""	"4"	"4"	""	""	"Copy on write"	".msvcjmc"
"  00007FF6F1B94000"	"Image (ASLR)"	"4"	"4"	""	"4"	""	"4"	"4"	""	""	"Read"	".00cfg"
"  00007FF6F1B95000"	"Image (ASLR)"	"4"	"4"	""	"4"	""	"4"	"4"	""	""	"Read"	".rsrc"
"  00007FF6F1B96000"	"Image (ASLR)"	"4"	"4"	""	""	""	""	""	""	""	"Read"	".reloc"
"00007FF840510000"	"Image (ASLR)"	"4 040"	"4 032"	"44"	"584"	"48"	"536"	"536"	""	"10"	"Execute/Read"	"C:\Windows\System32\KernelBase.dll"
"  00007FF840510000"	"Image (ASLR)"	"4"	"4"	""	"4"	""	"4"	"4"	""	""	"Read"	"Header"
"  00007FF840511000"	"Image (ASLR)"	"1 680"	"1 680"	""	"352"	""	"352"	"352"	""	""	"Execute/Read"	".text"
"  00007FF8406B5000"	"Image (ASLR)"	"4"	"4"	""	"4"	""	"4"	"4"	""	""	"Execute/Read"	"fothk"
"  00007FF8406B6000"	"Image (ASLR)"	"1 984"	"1 984"	"12"	"184"	"12"	"172"	"172"	""	""	"Read"	".rdata"
"  00007FF8408A6000"	"Image (ASLR)"	"16"	"16"	"16"	"16"	"16"	""	""	""	""	"Read/Write"	".data"
"  00007FF8408AA000"	"Image (ASLR)"	"4"	"4"	"4"	""	""	""	""	""	""	"Copy on write"	".data"
"  00007FF8408AB000"	"Image (ASLR)"	"16"	"16"	"16"	"16"	"16"	""	""	""	""	"Read/Write"	".data"
"  00007FF8408AF000"	"Image (ASLR)"	"8"	"8"	"8"	""	""	""	""	""	""	"Copy on write"	".data"
"  00007FF8408B1000"	"Image (ASLR)"	"76"	"76"	""	""	""	""	""	""	""	"Read"	".pdata"
"  00007FF8408C4000"	"Image (ASLR)"	"4"	"4"	"4"	"4"	"4"	""	""	""	""	"Read"	".didat"
"  00007FF8408C5000"	"Image (ASLR)"	"4"	"4"	""	""	""	""	""	""	""	"Read"	".rsrc"
"  00007FF8408C6000"	"Image (ASLR)"	"228"	"228"	""	""	""	""	""	""	""	"Read"	".reloc"
